task,dataset,rank,formulation,time_min_s,time_q25_s,time_median_s,time_q75_s,time_max_s,iters_median,cap_iters,cap_time_s
RA-SLAM,plaza1,rank5,Implicit,32.912,36.4,40.288,42.669,60.195,109,10000,10000
RA-SLAM,plaza1,rank5,Explicit,27.414,40.501,49.979,60.414,140.264,174,10000,10000
RA-SLAM,plaza1,rank5,Explicit VarPro,31.538,33.356,78.855,92.573,4688.108,147,10000,10000
RA-SLAM,plaza1,rank5,GTSAM,11.293339970999995,11.365549368,12.551886263999997,12.871064305,12.877359278000002,72,10000,10000
RA-SLAM,plaza2,rank5,Implicit,3.097,3.312,4.171,4.337,5.708,56,10000,10000
RA-SLAM,plaza2,rank5,Explicit,5.201,7.689,8.247,10.423,11.86,108,10000,10000
RA-SLAM,plaza2,rank5,Explicit VarPro,6.112,6.503,6.879,7.182,7.314,52,10000,10000
RA-SLAM,plaza2,rank5,GTSAM,4.914080208000001,5.133021309000001,6.202283721,7.173473667999997,7.431178514999997,74,10000,10000
